order,english,korean,spanish,russian
getFullVersion,FULL PACKAGE,풀 패키지,VERSIÓN COMPLETA,ПОЛУЧИТЬ ПОЛНУЮ ВЕРСИЮ
menu,MENU,메뉴,MENÚ,МЕНЮ
ok,OK,확인,OK,ОК
cancel,Cancel,취소,Cancelar,ОТМЕНИТЬ
exit,EXIT,나가기,SALIR,ВЫХОД
setting,SETTING,설정,Ajustes,настройки
network reset warning,Network data will be erased. Scenario mode data is not affected. Do you want to continue?,네트워크 데이터를 초기화 합니다. 시나리오 모드 데이터는 초기화 되지 않습니다. 초기화 하시겠습니까?,Se borrarán los datos de la red. Los datos del modo de escenario no se ven afectados. ¿Quieres continuar?,Сетевые данные будут удалены. Данные режима сценария не затрагиваются. Вы хотите продолжить?
you cannot build there,You can not build there,거기에 건축 할 수 없습니다.,No se puede construir alli,Вы не можете построить там
mission clear,MISSION CLEAR,미션 성공,MISIÓN COMPLETADA,МИССИЯ ВЫПОЛНЕНА
mission failed,MISSION FAILED,미션 실패,MISIÓN FALLIDA,МИССИЯ ПРОВАЛЕНА
premium retry,PREMINUM START,프리미엄 스타트,PREMINUM START,ПРЕМИУМ СТАРТ
premium retry desc,Re-start this stage with the resources,위 자원을 받고 시작하세요,Re-start this stage with the resources,Попробуйте пройти уровень с ресурсами
not enough barracks use gem,There is no barracks available. Do you want to use gems to finish the job?,모든 병영이 사용중입니다. 보석을 사용해 진행중인 작업을 완료하시겠습니까?,No hay cuarteles disponible. ¿Quieres usar gemas para terminar el trabajo?,"Там нет казарм доступны. Вы хотите использовать драгоценные камни, чтобы закончить работу?"
not enough worker use gem,All workers are under construction. Do you want to use gems to finish the job?,모든 일꾼들이 작업중입니다. 보석을 사용해 진행중인 작업을 완료하시겠습니까?,Todos los trabajadores están en construcción. ¿Quieres usar gemas para terminar el trabajo?,"Все рабочие находятся в стадии строительства. Вы хотите использовать драгоценные камни, чтобы закончить работу?"
already hired,This soldier is already hired.,이 병사는 이미 고용되었습니다.,Este soldado ya está contratado.,Этот солдат уже наняли.
fire ask,Do you want to fire this soldier?,이 병사를 해고 하시겠습니까?,¿Quieres disparar este soldado?,"Вы хотите, чтобы уволить этот солдат?"
yes,YES,예,SÍ,ДА
no,NO,아니오,NO,НЕТ
new soldiers,New soldiers,새로운 군인,Los nuevos soldados,Новые солдаты
deck,DECK,덱,CUBIERTA,DECK
inventory,INVENTORY,인벤토리,INVENTARIO,ИНВЕНТАРИЗАЦИЯ
refresh,Refresh,새로고침,Refrescar,обновление
surrender,Surrender,항복,Rendición,капитуляция
next match,Next opponent,다음 상대,próximo rival,Следующий соперник
select ground to place soldiers,Pressing empty ground will start the battle,빈 땅을 누르면 전투가 시작됩니다,Al pulsar suelo vacío comenzará la batalla,Нажатие пустой земли начнется бой
not enough soliders,There is no soldier to attack.,공격 할 병사가 없습니다.,No hay ningún soldado para atacar.,Там нет солдат атаковать.
revenge,Revenge,반격,Venganza,Месть
defence record,Defence record,방어 기록,registro de defensa,запись обороны
top rank,Top rank,상위 순위,Bromear,Топ ранг
visit,VISIT,방문,VISITAR,ВИЗИТ
sound,SOUND,소리,SONAR,SOUND
receive,Receive,받기,Recibir,Получать
day 1,Day 1,1 일,Día 1,1 день
24 hours,24 hours,24 시간,24 horas,24 часа
6 hours,6 hours,6 시간,6 horas,6 часов
shield desc,Prevent losing resources,손실 자원을 방지,Evitar que los recursos que pierden,Предотвращения потери ресурсов
expired,Expired,만료,Muerto,Истекший
daily mission 0,Win a Arena battle,아레나 전투를 승리,Gana una batalla en la arena,Выиграйте битву Арены
daily mission 1,Win a CAMPAIGN,캠페인 승리,Ganar una campaña,Выиграй КАМПАНИИ
daily mission 2,Win a network battle,네트워크 전투를 승리,Gana una batalla de red,Выиграйте битву сети
daily mission 3,Win a local battle,로컬 전투를 승리,Gana una batalla locales,Выиграйте местный бой
network battle,Network battle,네트워크 전투,batalla de red,Сетевые сражения
local battle,Local battle,로컬 전투,batalla local,Локальная битва
challenge,Challenge,도전,Reto,Вызов
daily mission,Daily mission,일일 임무,Misión diaria,Ежедневная миссия
daily reward,Daily reward,매일 보상,Recompensa diaria,Ежедневные награды
special offer,Special offer,특별 상품,Oferta especial,Специальное предложение
ask special offer last,Special offer is expired. It is the last chance. Do you want to see the items?,특별 상품 제공 시간이 다 되었습니다. 마지막 기회입니다. 확인해보시겠습니까?,Oferta especial ha caducado. Es la última oportunidad. ¿Quieres ver los artículos?,"Специальное предложение истекло. Это последний шанс. Вы хотите, чтобы увидеть детали?"
worker condition 0,Lucky day,행운의 날,Día de suerte,Счастливый день
worker condition 1,Finish the first chapter,첫 번째 챕터를 완료,Terminar el primer capítulo,Завершить первую главу
worker condition 2,Win the arena for 20 times,20 번 경기장에 승리,Gana el escenario de 20 veces,Победа на арене 20 раз
worker condition 3,Finish the episode orc,에피소드 오크를 완료,Terminar el episodio orco,Завершите эпизод орка
gold text,Gold,금,Oro,Золото
lumber text,Lumber,나무,Madera,Дерево
produced unit,Produced Unit,생산된 유닛,Unidades producidas,Юнит готов
killed unit,Killed Unit,제거한 유닛,Unidades eliminadas,Юнит убит
failed to find match,"Failed to find your opponent. Try it again, later.",상대를 찾는 데 실패했습니다. 나중에 다시 시도하십시오.,No se ha podido encontrar su oponente. Inténtelo de nuevo más tarde.,Не удалось найти своего противника. Попробуй еще раз позже.
tree,Tree,나무,Árbol,дерево
win,WIN,승리,GANAR,ВЫИГРАТЬ
used,Used,사용,Usado,Занят
earned,Earned,획득,Obtenido,Получено
league,League,리그,Liga,Лига
next league,NEXT LEAGUE,다음 리그 진출,SIGUIENTE LIGA,СЛЕДУЮЩАЯ ЛИГА
time,Time,시간,Tiempo,Время
gem pack,GEM PACK,잼 보따리,PAQUETE DE GEM,GEM PACK
info,INFO,정보,INFO,ИНФОРМАЦИЯ
train,TRAIN,훈련,Formación,Подготовка
network fail play offline,Failed connecting to the server. Play offline and try it later.,서버에 접속할 수 없습니다. 잠시 오프라인 플레이 후 다시 시도해보세요.,Falló la conexión al servidor. Juega el juego sin conexión y pruébalo más tarde.,Не удалось подключиться к серверу. Играть в игру в автономном режиме и попробуйте позже.
play colosseum,Play colosseum and let others admire you,콜로세움을 플레이하고 나의 엄청난 실력을 확인하세요!,Juega al Coliseo y deja que otros te admiren.,Играйте в Колизей и пусть другие восхищаются
drag to select,DRAG TO SELECT,드래그 선택,DRAG PARA SELECCIONAR,"DRAG, чтобы выбрать"
name,Nick Name,이름,Apodo,Никнейм
input name,Input your name,이름을 입력하세요,Ingresa tu nombre,Введите ваше имя
same name exist,The name is already in use,이미 등록된 이름입니다.,El nombre ya está en uso.,Имя уже используется
name registered,Your name is saved,이름이 저장되었습니다.,Tu nombre esta guardado,Ваше имя сохранено
new user,New User,신규유저,Nuevo usuario,Новый пользователь
existing user,Existing User,기존유저,Usuario existente,Существующий пользователь
user id,User ID,유저ID,ID de usuario,Идентификатор пользователя
is new user,Are you a new user?,신규 유저입니까?,¿Eres un usuario nuevo?,Вы новый пользователь?
change,Change,변경,Cambio,Менять
account change,Account Change,계정 전환,Cambio de cuenta,Изменение учетной записи
change name,Name Change,이름 변경,Cambio de nombre,Изменение имени
change name alert,Don’t use bad word for your name. And report any insulting name. Here we inform you that any bad name can be changed by manager without warning.,욕설 등의 저속어로 이름을 짓지 말아주세요. 기분 나쁜 이름을 발견하면 신고해주세요. 사용자의 눈살을 찌푸리게 만드는 이름은 운영자에 의해 경고 없이 임의의 이름으로 변경 됨을 알려 드립니다.,No uses mala palabra para tu nombre. Y denuncie cualquier nombre insultante. Aquí le informamos que cualquier administrador puede cambiar cualquier nombre incorrecto sin previo aviso.,"Не используйте плохое слово для вашего имени. И сообщить любое оскорбительное имя. Здесь мы сообщаем вам, что любое плохое имя может быть изменено менеджером без предупреждения."
hire,HIRE,고용,Emplear,НАНИМАТЬ
fire,FIRE,해고,Jubilar,выбытие
remove from deck,REMOVE FROM DECK,덱에서 제거,REMOVER desde la cubierta,УДАЛИТЬ ИЗ ПАЛУБЫ
move to deck,MOVE TO DECK,덱으로 이동,Moverse a la cubierta,MOVE TO ПАЛУБЕ
password,Password,비밀번호,Contraseña,пароль
confirm password,Confirm password,비밀번호 확인,Confirmar contraseña,Подтвердите Пароль
upgrade time,Upgrade Time,업그레이드 시간,actualizar Tiempo,Время обновления
upgrade,UPGRADE,업그레이드,MEJORAR,ОБНОВИТЬ
enemy killed,Killed Enemy,처지한 적,Enemigos eliminados,Враг убит
your rank,My rank,내 순위,Mi rango,Мой ранг
purchase success,PURCHASE COMPLETE,구매 완료,COMPRA REALIZADA,ПОКУПКА ЗАВЕРШЕНА
colosseum,COLOSSEUM,콜로세움,COLISEO,КОЛИЗЕЙ
top,TOP,상위,Топ,TOP
video not available,Video is not available now,광고가 준비되지 않았습니다,El video no está disponible,Видео сейчас недоступно
ticket received,You received a golden ticket.,티켓이 지급되었습니다.,Has recibido un ticket dorado,Вы получили золотой билет.
battle,Battle,배틀,BATALLA,БОЕВОЙ
food provide,Food provide,음식 제공,,
BEGINNER,BEGINNER,비기너,PRINCIPIANTE,НОВИЧОК
BRONZE,BRONZE,브론즈,BRONCE,БРОНЗА
SILVER,SILVER,실버,PLATA,СЕРЕБРО
GOLD,GOLD,골드,ORO,ЗОЛОТО
PLATINUM,PLATINUM,플래티넘,PLATINO,ПЛАТИНА
DIAMOND,DIAMOND,다이아몬드,DIAMANTE,АЛМАЗ
MASTER,MASTER,마스터,MAESTRO,МАСТЕР
GRAND MASTER,GRAND MASTER,그랜드 마스터,GRAN MAESTRO,ГРАНД МАСТЕР
LEGENDARY,LEGENDARY,전설,LEYENDA,ЛЕГЕНДА
congratulations,Congratulations,축하합니다,Enhorabuena,Поздравляю
ask email,Questions,문의,Questions,ASK
chapter,Chapter,챕터,,глава
castle desc,HQ of the army. Workers can be produced in this building.,군대 본부. 이 건물에서 일꾼을 생산할 수 있습니다.,Cuartel general del ejército. Los trabajadores pueden ser producidos en este edificio.,Штаб армии. Рабочие могут быть произведены в этом здании.
temple desc,Wizards are trained here. Do not try to get on the stage without permission.,마법사는 여기서 훈련받을 수 있습니다. 허락없이 들어 가려고하지 마십시오.,Los magos pueden ser entrenados aquí. No trates de entrar sin permiso.,Волшебники обучаются здесь. Не пытайтесь попасть на сцену без разрешения.
farm desc,Farm produces food. More food` More soldiers.,농장에서 음식을 생산합니다. 더 많은 군인을 모으기 위해 더 많은 음식을 준비하십시오.,La granja produce alimentos. Preparar más comida para reunir más soldados.,Ферма производит еду. Чем больше еды` тем больше солдат.
barracks desc,Soldiers can be upgraded in this building.,군인은이 건물에서 업그레이드 할 수 있습니다.,Los soldados pueden ser actualizados en este edificio.,Солдаты могут быть модернизированы в этом здании.
underground bunker desc,Defense force are hidden in this bunker until a flare was triggered.,신호탄이 켜질때까지 이 벙커에 방어 병력이 숨겨져 있습니다.,La fuerza de defensa se oculta en este búnker hasta que se activó una bengala.,"Силы обороны скрыты в этом бункере, пока не сработала вспышка."
trigger desc,Defense force will come out from underground bunkers when this flare is triggered.,이 플레어가 발동되면 지하 벙커에서 방어 병력이 나옵니다.,La fuerza de defensa saldrá de búnkeres subterráneos cuando se active esta bengala.,"Силы обороны выйдут из подземных бункеров, когда эта вспышка будет запущена."
lumbermill desc,Workers can store lumbers in this building. And processed lumbers from this building are required for building more complicated ones.,노동자는이 건물에 목재를 저장할 수 있습니다. 그리고 이 건물에서 가공 된 목재는 더 복잡한 구조물을 만들기 위해 필요합니다.,Los trabajadores pueden almacenar madera en este edificio. Y se requieren troncos procesados de este edificio para construir los más complicados.,Рабочие могут хранить пиломатериалы в этом здании. И обработанные пиломатериалы из этого здания необходимы для строительства более сложных зданий.
watcher tower desc,Watcher tower can attack the intruders.,감시탑이 침입자를 공격 할 수 있습니다.,La torre vigía puede atacar a los intrusos.,Сторожевые башни может атаковать незванных гостей.
factory desc,Factory produces big units like a Catapult.,공장은 투석기와 같은 큰 유닛을 생산합니다.,Fábrica produce grandes unidades como una catapulta.,Фабрика производит большие юниты (например` Катапульты)
airport desc,Helicopters can be trained in this building. They need more skills than just flying.,이 건물에서 헬리콥터를 생산할 수 있습니다. 나는 거 말고 더 공격은 못하나요?,Se pueden producir helicópteros en este edificio. Necesitan más poder que solo volar.,Вертолеты могут быть обучены в этом здании. Им нужно больше навыков чем просто полёт.
mine desc,You can dig for gold in a gold mine.,금광에서 금을 파낼 수 있습니다.,Puedes excavar en busca de oro en una mina de oro.,Вы можете найти золото в золотом прииске.
orc hq desc,Orc's patriarch is staying here.,오크의 족장이 이곳에 머물러 있다,El anciano de Orc se queda aquí.,Старший Орк остался здесь.
orc barracks desc,It is the place to train Orc troops.,오크의 병력들을 훈련시키는 곳입니다.,It is the place to train Orc troops.,Это место для подготовки войск орков.
orc bunker desc,Orc arrows fly from here. None of the humans who entered this place survived.,오크의 화살이 이곳에서 날아옵니다. 이 안에 들어간 휴먼은 누구도 살아나오지 못했습니다.,Las flechas orcas vuelan desde aquí. Ninguno de los humanos que entraron a este lugar sobrevivió.,"Орковые стрелы летят отсюда. Никто из людей, вошедших в это место, не выжил."
orc troll house desc,A house where a cowardly troll is living.,겁쟁이 덩치 트롤이 살고 있는 집입니다.,Una casa donde vive un troll cobarde.,"Дом, в котором живет трусливый тролль."
worker desc,Workers gather gold and lumbers.,노동자들은 금과 목재를 수집합니다.,Los trabajadores recogen oro y madera.,Рабочие собирают золото и пиломатериалы.
swordman desc,Swordman is a noble warrior who is fast and strong.,검객은 빠르고 강인한 고귀한 전사입니다.,Espadachín es noble guerrero que es rápido y fuerte.,"Мечник - благородный воин, быстрый и сильный"
archer desc,Archers can attack enemies who are in long distance.,궁수는 원거리에있는 적을 공격 할 수있다.,Los arqueros pueden atacar a los enemigos que están en larga distancia.,"Лучники могут атаковать врагов, которые находятся в большом расстоянии."
wizard desc,Wizards do magic stuff and punish evils.,마법사들은 마법으로 악을 처벌합니다.,Los magos castigan los males con su magia.,Волшебники делают магические вещи и наказывают зло.
helicopter desc,Helicopter can fly and they can attack with gravels.,헬리콥터 비행 할 수 있으며 그들은 자갈로 공격 할 수있다.,Helicóptero puede volar y que puede atacar con gravas.,"Вертолет может летать, и они могут атаковать с гравии."
catapult desc,This unit is very slow. But nothing is more powerful than this. Horde of zombies can only be destroyed by this one.,이 장치는 매우 느립니다. 그러나 이보다 더 강력한 것은 없습니다. 좀비의 무리는 이걸로 만 파괴 될 수 있습니다.,Esta unidad es muy lenta. Pero nada es más poderoso que esto. La horda de zombies solo puede ser destruida por este.,Этот аппарат очень медленный. Но нет ничего более могущественного. Только он способен уничтожить орды зомби.
goblin desc,GOBLINs are fast and very greedy.,고블린은 빠르고 매우 욕심이 있습니다.,Goblins son rápidos y muy codicioso.,Гоблины быстро и очень жадные.
goblin bomb desc,They are carrying a bomb that can blow everything.,그들은 모든 것을 날려 버릴 수 있는 폭탄을 운반하고 있습니다.,Están llevando a una bomba que puede estallar todo.,"Они несут бомбу, которая может взорвать все."
orc axe desc,An orc's axe is very dangerous.,오크의 도끼는 매우 위험합니다.,hacha de un orco es muy peligroso.,топор орка очень опасно.
orc spear desc,An orc's spear can fly like a bullet.,오크의 창은 총알처럼 날 수 있습니다.,La lanza de un orco puede volar como una bala.,Копье орка может летать как пуля.
troll desc,Troll is very heavy and slow.,트롤은 매우 무겁고 느리다.,Troll es muy pesado y lento.,Troll очень тяжело и медленно.
zombie orc axe desc,An infected orc almost never die again.,감염된 오크는 거의 다시 죽지 않는다.,Un orco infectada casi nunca más morir.,Зараженный орк почти никогда не умирают снова.
zombie swordman desc,Do you think they can die again?,당신은 그들이 다시 죽을 수 있다고 생각하십니까?,Qué cree que puede volver a morir?,"Как вы думаете, что они могут умереть снова?"
zombie orc axe,Infected orc warrior,감염된 오크 전사,Infectada guerrero orco,Зараженный орк воин
zombie swordman,Infected human,감염된 사람,infectada humana,Зараженный человек
clear chapter 2,You need to open the chapter 2 to use this.,챕터 2를 열면 사용 가능합니다.,Necesitas abrir el capítulo 2 para usar esto.,Вам нужно открыть главу 2
clear previous chapter,This chapter can be opened when you clear all missions in the previous chapter or purchase the golden key.,이전 챕터를 모두 클리어하거나 황금열쇠를 구매하여 열 수 있습니다.,Este capítulo se puede abrir cuando realiza todas las misiones del capítulo anterior o cuando compra la llave de oro.,Эту главу можно открыть выполнив все миссии в прошлой главе или купив золотой ключ
free app alert,If you downloaded this game during the free-download promotion` there might be ads displayed.,무료 프로모션 기간 중에 다운 받으셨을 경우 광고가 보여질 수 있습니다.,"Si descargó este juego durante la promoción de descarga gratuita, es posible que se muestren anuncios.",Если вы скачали эту игру во время акции по бесплатному скачиванию` то может отображаться реклама
colosseum top 1,You took the top place of the league! I have no doubt about that people want to see you tomorrow as well.,당신은 리그 최고의 자리를 차지했습니다! 나는 사람들이 오늘 너를보고 싶어한다는 것에 의심의 여지가 없다.,¡Tomaste el primer lugar de la liga! No tengo ninguna duda acerca de que la gente también quiere verte hoy.,"Вы заняли первое место в лиге! Я не сомневаюсь, что люди хотят видеть тебя и сегодня"
colosseum top 10,You are unbelievable. Look at how awesome you are in the colosseum. Here are your rewards!,당신은 믿을 수 없습니다. 당신이 콜로세움에서 얼마나 굉장한 지보십시오. 여기 당신의 보상이 있습니다!,Eres increíble. Mira lo maravilloso que eres en el coliseo. ¡Aquí están tus recompensas!,"Ты невероятный. Посмотрите, как вы круты в Колизее Вот ваши награды!"
colosseum top 30,You are amazing! Here is your rewards for how awesome you were at the colosseum yesterday.,당신 정말 대단하네요! 나는 당신이 어제 콜로세움에서 굉장했다는 것을 인정해야합니다. 여기에 보상이 있습니다.,¡Eres fabuloso! Debo admitir que ayer estuviste increíble en el Coliseo. Aquí está tu recompensa.,"Ты великолепен! Я должен признать, что вы были великолепны вчера в Колизее. Вот ваша награда."
colosseum top 100,You were awesome on yesterday's colosseum. Take your reward and let me see you on the colosseum again.,당신은 어제의 콜로세움에서 굉장했습니다. 보상을 받고 다시 콜로세움에서 당신을 볼 기회를주십시오.,Estuviste increíble en el Coliseo de ayer. Toma tu recompensa y dame la oportunidad de verte de nuevo en el Coliseo.,Вы были великолепны на вчерашнем Колизее. Возьми свою награду и дай мне шанс снова увидеть тебя в Колизее.
colosseum result,COLOSSEUM RESULT,콜로세움 결과,Resultado del coliseo,Колизей результат
challenge arena,Be the first player to challenge today’s arena!,오늘의 아레나의 첫 번째 도전자가 되어주세요!,¡Sé el primero en desafiar la arena hoy!,Будьте первым игроком` который бросит вызов сегодняшней арене!
rank,RANK,순위,RANGO,РАНГ
reward,REWARD,보상,RECOMPENSA,ВОЗНАГРАЖДЕНИЕ
not enough ticket,Not enough tickets,티켓이 부족합니다.,No hay tickets suficientes,Недостаточно билетов
not enough gems,Not enough gems,보석이 부족합니다.,No hay suficiente gema.,Там не достаточно Gem.
server fail try again,Failed to connect with Server,서버 접속에 실패 했습니다.,Error al conectar con el servidor,Не удалось подключиться к серверу
play,PLAY,플레이,JUGAR,ИГРАТЬ
back key exit,What? Exit? Really?,뭐시라?! 나가겠다고?!,¿Qué? ¿Te vas? ¿En serio?,Что? Выход? Вы уверены?
option,OPTION,옵션,OPCIONES,ОПЦИИ
save,SAVE,저장하기,GUARDAR,СОХРАНИТЬ
load,LOAD,불러오기,CARGAR,ЗАГРУЗИТЬ
arena,ARENA,아레나,ARENA,АРЕНА
coming soon,COMING SOON,커밍 순,PRÓXIMAMENTE,СКОРО БУДЕТ
buy,BUY,구매하기,COMPRAR,КУПИТЬ
beta alert,This is in BETA state. It might not work properly :P,베타 테스트 중입니다. 정상적으로 동작하지 않을 수도 있어용^^;,Esta es una versión BETA. Puede que no funcione correctamente :p,Внимание! Бета-тест! Может не работать должным образом :P
select support,GET,선택,CONSEGUIR,ВЫБОР
sign in google play,Sign in to Google Play Game Service,게임 서비스 로그인이 필요합니다.,Inicia sesión en tu cuenta de Google Play,Войдите в игровой сервис Google Play
sign in game center,Sign in to Game Center,게임 센터 로그인이 필요합니다.,Inicia sesión en tu cuenta de Game Center,Войдите в Game Center
effect on,EFFECT ON,효과음 켜짐,EFECTOS: SÍ,Эффекты вкл
effect off,EFFECT OFF,효과음 꺼짐,EFECTOS: NO,Эффекты выкл
music on,MUSIC ON,배경음 켜짐,MÚSICA: SÍ,Музыка вкл
music off,MUSIC OFF,배경음 꺼짐,MÚSICA: NO,Музыка выкл
never show,Never show,다시 보지 않기,No volver a mostrar,Никогда не показывать
rate game,Please` rate this game.,게임을 평가해주세요.,Por favor` valora este juego.,Пожалуйста` оцените игру.
enjoy game,Enjoying Cartoon Craft?,카툰 크래프트 재미있으신가요?,¿Te gusta Cartoon Craft?,Нравится Cartoon Craft?
select all,ALL FORCES,전 병력 선택,TODAS LAS FUERZAS,ВСЕ ВОЙСКА
select screen,FORCES IN SCREEN,화면 내 병력 선택,FUERZAS EN PANTALLA,ВОЙСКА НА ЭКРАНЕ
later,Later,나중에,Más tarde,Позже
choose support,Get Support Force,지원 병력 선택,Consigue fuerzas de apoyo,Получить поддержку
overwrite save data,Data exists on the slot. Do you want to overwrite?,저장된 데이터가 있습니다. 덮어쓰기 하시겠습니까?,Hay información en la ranura. ¿Quieres sobreescribirla?,Слот с данными. Хотите перезаписать?
load data,Do you want to play the saved game?,저장된 게임을 플레이하시겠습니까?,¿Quieres jugar la partida guardada?,Вы хотите играть в сохраненную игру?
gold left,Gold Left: %d,남은 금: %d,Oro restante: %d,Остаток золота: %d
next,Next,다음,Siguiente,Следующий
not available on this stage,Not available on this stage,이 스테이지에서는 사용할 수 없습니다,No disponible en este nivel,Не доступно на этом этапе
